age,Dx,Px,mx,qx,lx,dx,Lx,Tx,ex
0,165,57824,0.0028534864,0.0028467442,100000,284.6744230383,99763.7202288782,7632899.9582559,76.3289995826
1,12,58689,2.724365e-4,2.723994e-4,99715.3255769617,27.1623951384,99701.7443793925,7533136.23802703,75.5464237261
2,9,58752,1.138057e-4,1.137992e-4,99688.1631818233,11.3444373297,99682.4909631585,7433434.49364763,74.5668718972
3,7,58156,1.014285e-4,1.014234e-4,99676.8187444936,10.1095580198,99671.7639654837,7333752.00268448,73.5753016103
4,5,57687,1.124827e-4,1.124764e-4,99666.7091864738,11.2101513627,99661.1041107925,7234080.23871899,72.5827139048
5,6,56814,1.243385e-4,1.243307e-4,99655.4990351111,12.3902413064,99649.3039144579,7134419.1346082,71.5908224201
6,10,56306,1.142781e-4,1.142716e-4,99643.1087938047,11.3863736224,99637.4156069935,7034769.83069374,70.5996622933
7,2,56529,8.79987e-5,8.79948e-5,99631.7224201823,8.7670717244,99627.3388843201,6935132.41508675,69.6076736066
8,5,59158,7.23039e-5,7.23013e-5,99622.9553484579,7.2028680524,99619.3539144317,6835505.07620243,68.6137552564
9,5,62001,8.04478e-5,8.04446e-5,99615.7524804055,8.0135444988,99611.7457081561,6735885.722288,67.6186803248
10,7,62736,1.139892e-4,1.139828e-4,99607.7389359067,11.3535640139,99602.0621538997,6636273.97657984,66.6240800913
11,10,61989,1.511441e-4,1.511327e-4,99596.3853718928,15.0522659781,99588.8592389038,6536671.91442594,65.631617955
12,8,58545,1.428859e-4,1.428757e-4,99581.3331059147,14.2277531089,99574.2192293603,6437083.05518704,64.6414629571
13,6,54707,1.098934e-4,1.098873e-4,99567.1053528058,10.9411632897,99561.634771161,6337508.83595768,63.6506285234
14,5,52017,9.76803e-5,9.76755e-5,99556.1641895161,9.7241990725,99551.3020899799,6237947.20118652,62.6575687399
15,8,49892,1.325083e-4,1.324995e-4,99546.4399904437,13.1898580361,99539.8450614256,6138395.89909654,61.6636406052
16,8,48682,2.373709e-4,2.373427e-4,99533.2501324076,23.623493746,99521.4383855346,6038856.05403511,60.6717458337
17,24,48196,4.191897e-4,4.191019e-4,99509.6266386616,41.7046704145,99488.7743034544,5939334.61564958,59.6860305508
18,24,48290,5.868288e-4,5.866567e-4,99467.9219682471,58.3535219527,99438.7452072708,5839845.84134612,58.7108459269
19,37,47998,6.799123e-4,6.796812e-4,99409.5684462944,67.566819099400007,99375.7850367447,5740407.09613885,57.7450157551
20,36,47855,7.206715e-4,7.204119e-4,99342.0016271951,71.5671637884,99306.2180453008,5641031.31110211,56.7839505819
21,33,48495,7.473058e-4,7.470267e-4,99270.4344634066,74.1576662145,99233.3556302994,5541725.0930568,55.8245274438
22,33,48956,7.530905e-4,7.528071e-4,99196.2767971922,74.6756581852,99158.9389680996,5442491.7374265,54.8658872404
23,40,50968,7.257767e-4,7.255134e-4,99121.601139007,71.9140527104,99085.6441126518,5343332.7984584,53.9068450979
24,41,55441,6.766572e-4,6.764283e-4,99049.6870862966,67.0000163622,99016.1870781155,5244247.15434575,52.9456206134
25,40,61902,6.426763e-4,6.424698e-4,98982.6870699344,63.5933883855,98950.8903757417,5145230.96726764,51.981120331
26,38,66164,6.551343e-4,6.549198e-4,98919.0936815489,64.7840702129,98886.7016464425,5046280.0768919,51.0142166601
27,51,68828,7.125322e-4,7.122784e-4,98854.309611336,70.4117931363,98819.1037147678,4947393.37524545,50.0473211001
28,56,71286,7.770818e-4,7.767799e-4,98783.8978181997,76.733350423,98745.5311429882,4848574.27153069,49.0826377438
29,61,71339,8.018381e-4,8.015168e-4,98707.1644677766,79.1154503624,98667.6067425955,4749828.7403877,48.1204050992
30,49,72397,7.935919e-4,7.932771e-4,98628.0490174143,78.2393723163,98588.9293312561,4651161.1336451,47.1586042711
31,66,73717,7.995856e-4,7.992661e-4,98549.809645098,78.7675222479,98510.425883974,4552572.20431385,46.1956468583
32,62,74422,8.61208e-4,8.608373e-4,98471.042122850107,84.7675443523,98428.6583506739,4454061.77842987,45.2321990548
33,73,75763,9.632642e-4,9.628004e-4,98386.2745784978,94.72634941,98338.9114037928,4355633.1200792,44.2707393764
34,78,76644,0.0010522817,0.0010517283,98291.5482290877,103.3760047837,98239.8602266959,4257294.20867541,43.3129224779
35,86,76781,0.0010760027,0.0010754241,98188.1722243041,105.5939250288,98135.3752617897,4159054.34844871,42.3579974475
36,83,77426,0.0010691112,0.00106854,98082.5782992753,104.8051625324,98030.1757180091,4060918.97318692,41.4030610084
37,85,78315,0.0010942193,0.0010936209,97977.7731367429,107.1505451269,97924.1978641794,3962888.79746891,40.4468143192
38,95,80809,0.0011930579,0.0011923466,97870.6225916159,116.6957041072,97812.2747395623,3864964.59960473,39.4905488211
39,116,87111,0.0013422344,0.0013413342,97753.9268875087,131.1206846797,97688.3665451689,3767152.32486517,38.5370945681
40,144,92242,0.0014934927,0.0014923783,97622.806202829,145.6901541447,97549.9611257566,3669463.95832,37.588183551
41,141,94013,0.0016130707,0.0016117707,97477.1160486843,157.1107605471,97398.5606684107,3571913.99719424,36.6436158761
42,175,95711,0.0017284322,0.0017269397,97320.0052881372,168.0657842963,97235.9723959891,3474515.43652583,35.7019651431
43,186,97488,0.0018842078,0.0018824343,97151.939503841,182.8821435412,97060.4984320704,3377279.46412984,34.7628619807
44,192,98582,0.0021038486,0.0021016378,96969.0573602998,203.7938411675,96867.160439716,3280218.96569777,33.8274812089
45,243,96123,0.0023723769,0.0023695661,96765.2635191323,229.2916891662,96650.6176745492,3183351.80525806,32.8976710184
46,230,88612,0.0026636341,0.0026600913,96535.971829966,256.7945024156,96407.5745787583,3086701.18758351,31.9746217816
47,245,81451,0.0029802774,0.002975843,96279.1773275505,286.5117184149,96135.921468343,2990293.61300475,31.0585704615
48,259,77264,0.0033636633,0.0033580157,95992.6656091356,322.3448789432,95831.493169664,2894157.69153641,30.1497793938
49,276,74143,0.0038659556,0.0038584972,95670.3207301924,369.1436627508,95485.748898817,2798326.19836674,29.2496792841
50,337,70716,0.0044570895,0.0044471787,95301.1770674416,423.8213671666,95089.2663838583,2702840.44946793,28.3610395237
51,332,68696,0.0050164713,0.0050039203,94877.355700275,474.7587280597,94639.9763362451,2607751.18308407,27.4854960263
52,367,68737,0.0054051992,0.0053906304,94402.5969722153,508.8895134183,94148.1522155062,2513111.20674782,26.621208392
53,411,70078,0.0056853613,0.0056692455,93893.707458797,532.3064744451,93627.5542215745,2418963.05453232,25.7627813407
54,418,72717,0.0060263512,0.0060082473,93361.4009843519,560.9383829337,93080.9317928851,2325335.50031074,24.906818833
55,507,72476,0.0065813931,0.0065598068,92800.4626014183,608.7531047857,92496.0860490254,2232254.56851786,24.054347424
56,475,67017,0.0073426897,0.0073158308,92191.7094966326,674.4589489234,91854.4800221709,2139758.48246883,23.2098796535
57,492,62231,0.0082482341,0.0082143571,91517.2505477091,751.7553808679,91141.3728572752,2047904.00244666,22.3772457126
58,582,60438,0.0092449237,0.009202386,90765.4951668412,835.2591213479,90347.8656061673,1956762.62958939,21.5584416302
59,621,59060,0.0103599636,0.0103065758,89930.2360454934,926.8727916276,89466.7996496796,1866414.76398322,20.7540294127
60,713,60083,0.0116449731,0.0115775629,89003.3632538658,1030.4420322407,88488.1422377455,1776947.96433354,19.9649530014
61,801,63633,0.0131172505,0.0130317799,87972.9212216251,1146.4437498248,87399.6993467127,1688459.82209579,19.1929493604
62,952,66060,0.0147115423,0.0146041177,86826.4774718003,1268.0240970621,86192.4654232693,1601060.12274908,18.4397682524
63,1104,66553,0.0163213229,0.0161892083,85558.4533747382,1385.1236211115,84865.8915641825,1514867.65732581,17.7056456443
64,1224,65888,0.0179101724,0.0177512088,84173.3297536267,1494.1783498426,83426.2405787054,1430001.76576163,16.9887750662
65,1244,65164,0.0195489976,0.0193597656,82679.1514037841,1600.6489938368,81878.8269068657,1346575.52518292,16.286760354
66,1389,64795,0.0213365218,0.0211113009,81078.5024099473,1711.6726610279,80222.6660794333,1264696.69827606,15.5984220315
67,1447,63935,0.0232870613,0.0230190384,79366.8297489194,1826.9481043257,78453.3556967565,1184474.03219662,14.9240436583
68,1620,62165,0.0253388723,0.0250218594,77539.8816445937,1940.1920167243,76569.7856362316,1106020.67649987,14.2638943089
69,1629,59472,0.027434995,0.0270637481,75599.6896278694,2046.0109547772,74576.6841504809,1029450.89086364,13.6171311804
70,1724,58204,0.0297046728,0.0292699457,73553.6786730923,2152.9121842705,72477.222580957,954874.206713155,12.9820047609
71,1866,58422,0.0324066103,0.0318898887,71400.7664888217,2276.9624945169,70262.2852415633,882396.984132198,12.3583685095
72,2032,56261,0.0356889035,0.0350632195,69123.8039943048,2423.7031155366,67911.9524365366,812134.698890635,11.7489873526
73,1908,47619,0.0392152441,0.0384611131,66700.1008787682,2565.3601243602,65417.4208165881,744222.746454098,11.1577454404
74,1770,41668,0.0426172921,0.0417281223,64134.740754408,2676.2223077134,62796.6296005514,678805.32563751,10.5840503548
