age,Dx,Px,mx,qx,lx,dx,Lx,Tx,ex
0,123,55139,0.002230726,0.0022264051,100000,222.6405128624,99806.3027538097,8210148.18383776,82.1014818384
1,13,56018,2.468035e-4,2.46773e-4,99777.3594871376,24.6223595499,99765.0483073626,8110341.88108395,81.2843907954
2,5,55781,1.075458e-4,1.0754e-4,99752.7371275877,10.7274139247,99747.3734206253,8010576.83277659,80.3043311236
3,6,55191,9.18062e-5,9.1802e-5,99742.009713663,9.1565114756,99737.4314579252,7910829.45935597,79.312914208
4,5,54758,9.31527e-5,9.31483e-5,99732.8532021874,9.2899498782,99728.2082272483,7811092.02789804,78.3201500519
5,5,54013,9.78867e-5,9.78819e-5,99723.5632523092,9.7611363718,99718.6826841233,7711363.81967079,77.3273995451
6,7,53683,9.68004e-5,9.67957e-5,99713.8021159374,9.6518645133,99708.9761836808,7611645.13698667,76.3349202966
7,3,53831,8.79298e-5,8.7926e-5,99704.1502514241,8.7665832072,99699.7669598205,7511936.16080299,75.3422614992
8,7,56119,7.82479e-5,7.82448e-5,99695.3836682169,7.800645391,99691.4833455214,7412236.39384317,74.3488426557
9,3,59134,7.29759e-5,7.29732e-5,99687.5830228259,7.2745216738,99683.945761989,7312544.91049765,73.3546213958
10,3,59986,7.3247e-5,7.32443e-5,99680.3085011521,7.3010120866,99676.6579951088,7212860.96473566,72.3599382184
11,4,59265,7.85627e-5,7.85596e-5,99673.0074890655,7.8302732017,99669.0923524647,7113184.30674055,71.3652019331
12,5,55652,8.92249e-5,8.9221e-5,99665.1772158638,8.8922230253,99660.7311043512,7013515.21438808,70.3707695136
13,6,51744,1.05303e-4,1.052975e-4,99656.2849928385,10.4935550535,99651.0382153118,6913854.48328373,69.3770040071
14,6,49201,1.260815e-4,1.260736e-4,99645.7914377851,12.562702227,99639.5100866716,6814203.44506842,68.3842573454
15,6,47120,1.497952e-4,1.497839e-4,99633.2287355581,14.9234580752,99625.7670065205,6714563.93498175,67.3928168363
16,10,46044,1.745933e-4,1.745781e-4,99618.3052774829,17.3911724424,99609.6096912617,6614938.16797523,66.4028378073
17,6,45641,1.981156e-4,1.98096e-4,99600.9141050405,19.730544561,99591.04883276,6515328.55828397,65.414345007
18,15,45459,2.177865e-4,2.177628e-4,99581.1835604795,21.68507778,99570.3410215894,6415737.50945121,64.4272068282
19,10,45245,2.330041e-4,2.329769e-4,99559.4984826994,23.19506765,99547.9009488744,6316167.16842962,63.4411308282
20,11,45453,2.442429e-4,2.44213e-4,99536.3034150494,24.3080632408,99524.149383429,6216619.26748074,62.4557980776
21,12,46041,2.524372e-4,2.524054e-4,99511.9953518086,25.117362112,99499.4366707526,6117095.11809732,61.4709321873
22,10,46534,2.586742e-4,2.586408e-4,99486.8779896966,25.7313616056,99474.0123088938,6017595.68142656,60.4863254634
23,10,48209,2.642108e-4,2.641759e-4,99461.146628091,26.2752374291,99448.0090093765,5918121.66911767,59.501844386
24,17,52408,2.698744e-4,2.698379e-4,99434.871390662,26.8313016979,99421.455739813,5818673.66010829,58.5174353698
25,18,58649,2.757226e-4,2.756846e-4,99408.0400889641,27.4052666501,99394.3374556391,5719252.20436848,57.5330949011
26,19,62317,2.817757e-4,2.81736e-4,99380.634822314,27.9991025277,99366.6352710502,5619857.86691284,56.5488223834
27,17,64606,2.886225e-4,2.885808e-4,99352.6357197863,28.6712636515,99338.3000879605,5520491.23164179,55.5646178045
28,21,67317,2.974763e-4,2.97432e-4,99323.9644561348,29.542126621,99309.1933928243,5421152.93155383,54.5805129833
29,19,67819,3.096757e-4,3.096277e-4,99294.4223295137,30.7443078715,99279.050175578,5321843.73816101,53.5966030448
30,21,68948,3.260011e-4,3.25948e-4,99263.6780216422,32.3547939642,99247.5006246601,5222564.68798543,52.6130483181
31,22,69699,3.468974e-4,3.468373e-4,99231.323227678,34.4171204418,99214.1146674571,5123317.18736077,51.6300399986
32,31,69487,3.729226e-4,3.728531e-4,99196.9061072362,36.985869971,99178.4131722507,5024103.07269331,50.6477799546
33,28,70796,4.045706e-4,4.044888e-4,99159.9202372652,40.1090740263,99139.8657002521,4924924.65952106,49.6664846819
34,26,71564,4.423328e-4,4.42235e-4,99119.8111632389,43.8342535468,99097.8940364655,4825784.79382081,48.6863800202
35,40,71619,4.865663e-4,4.86448e-4,99075.9769096921,48.1953080329,99051.8792556757,4726686.89978434,47.7076991539
36,27,72522,5.367209e-4,5.365769e-4,99027.7816016592,53.1360225187,99001.2135903999,4627635.02052867,46.7306744197
37,48,73476,5.915145e-4,5.913396e-4,98974.6455791406,58.5276235245,98945.3817673783,4528633.80693827,45.7554940504
38,60,75403,6.496005e-4,6.493896e-4,98916.117955616,64.2351005361,98884.000405348,4429688.42517089,44.7822712488
39,60,81293,7.109795e-4,7.107269e-4,98851.8828550799,70.2566915147,98816.7545093225,4330804.42476554,43.8110463825
40,72,86779,7.760038e-4,7.757028e-4,98781.6261635652,76.6251827063,98743.3135722121,4231987.67025622,42.8418506013
41,60,88826,8.454976e-4,8.451403e-4,98705.0009808589,83.419578576,98663.2911915709,4133244.35668401,41.8747207903
42,83,90468,9.212055e-4,9.207814e-4,98621.5814022829,90.8089177753,98576.1769433953,4034581.06549243,40.9097178135
43,101,92461,0.0010054624,0.0010049572,98530.7724845076,99.0192084294,98481.2628802929,3936004.88854904,39.9469606226
