gender,died.at.age,prob.death,risk.group,alt.age.death,lx,dx,ax,potential.years,years.lost.by.risk.group
Male,12,0.000143,0.000143,12,99581.333106,14.227753,0.5,0.5,0.5
Male,12,0.00011,0.000253,13,99567.105353,10.941163,0.5,1.5,0.934709
Male,12,9.8e-05,0.00035,14,99556.16419,9.724199,0.5,2.5,1.370933
Male,12,0.000132,0.000483,15,99546.43999,13.189858,0.5,3.5,1.954967
Male,12,0.000237,0.00072,16,99533.250132,23.623494,0.5,4.5,2.793421
Male,12,0.000419,0.001139,17,99509.626639,41.70467,0.5,5.5,3.788711
Male,12,0.000586,0.001725,18,99467.921968,58.353522,0.5,6.5,4.709816
Male,12,0.000679,0.002403,19,99409.568446,67.566819,0.5,7.5,5.497526
Male,12,0.000719,0.003122,20,99342.001627,71.567164,0.5,8.5,6.188679
Male,12,0.000745,0.003867,21,99270.434463,74.157666,0.5,9.5,6.826404
Male,12,0.00075,0.004617,22,99196.276797,74.675658,0.5,10.5,7.423117
Male,12,0.000722,0.005339,23,99121.601139,71.914053,0.5,11.5,7.974584
Male,12,0.000673,0.006012,24,99049.687086,67.000016,0.5,12.5,8.481065
Male,12,0.000639,0.00665,25,98982.68707,63.593388,0.5,13.5,8.963022
Male,12,0.000651,0.007301,26,98919.093682,64.78407,0.5,14.5,9.456415
Male,12,0.000707,0.008008,27,98854.309611,70.411793,0.5,15.5,9.99005
Male,12,0.000771,0.008778,28,98783.897818,76.73335,0.5,16.5,10.561485
Male,12,0.000794,0.009573,29,98707.164468,79.11545,0.5,17.5,11.13733
Male,12,0.000786,0.010359,30,98628.049017,78.239372,0.5,18.5,11.695776
Male,12,0.000791,0.01115,31,98549.809645,78.767522,0.5,19.5,12.249432
Male,12,0.000851,0.012001,32,98471.042123,84.767544,0.5,20.5,12.834659
Male,12,0.000951,0.012952,33,98386.274578,94.726349,0.5,21.5,13.471072
Male,12,0.001038,0.01399,34,98291.548229,103.376005,0.5,22.5,14.141041
Male,12,0.00106,0.015051,35,98188.172224,105.593925,0.5,23.5,14.800421
Male,12,0.001052,0.016103,36,98082.578299,104.805163,0.5,24.5,15.434365
Male,12,0.001076,0.017179,37,97977.773137,107.150545,0.5,25.5,16.064827
Male,12,0.001172,0.018351,38,97870.622592,116.695704,0.5,26.5,16.731203
